Raw_file        N_Q     mean    std     CI_low  CI_up
20230525_EXPL8_nLC11_GT_collab_77min_DDA_P0387  N       80.0890251371359        10.706380995560592      54.858212712210204      97.53177696033798
20230525_EXPL8_nLC11_GT_collab_77min_DDA_P0387  Q       62.69005704367558       6.282662309917609       49.65408517796367       74.40309274112924
20230525_EXPL8_nLC11_GT_collab_77min_DDA_P0388  N       84.7175505830756        7.819886563658797       66.9272332300534        96.69658767637804
20230525_EXPL8_nLC11_GT_collab_77min_DDA_P0388  Q       63.117678099092345      6.296380216271209       49.12744634458595       74.66408559692871
20230525_EXPL8_nLC11_GT_collab_77min_DDA_P0389_20230528201553   N       83.88527867629715       8.445347234624245       62.76379709782139    97.53902306136675
20230525_EXPL8_nLC11_GT_collab_77min_DDA_P0389_20230528201553   Q       65.11358808781942       6.638967299674023       51.62678715080437    77.35180595279225
20230525_EXPL8_nLC11_GT_collab_77min_DDA_P0390  N       89.61348837944672       8.82795749953914        68.37873008689672       100.0
20230525_EXPL8_nLC11_GT_collab_77min_DDA_P0390  Q       64.82517622864263       6.814368864272504       50.85433774329697       77.1318759337585
20230525_EXPL8_nLC11_GT_collab_77min_DDA_P0391  N       93.8466630809888        6.068418684423128       78.94736842105263       100.0
20230525_EXPL8_nLC11_GT_collab_77min_DDA_P0391  Q       65.08497079657774       6.409732824668631       52.40283819039965       77.25948109861989
20230525_EXPL8_nLC11_GT_collab_77min_DDA_P0392  N       75.32321940655218       13.366330022695495      44.96853285187433       100.0
20230525_EXPL8_nLC11_GT_collab_77min_DDA_P0392  Q       52.29179983873413       7.85853398413152        36.12261435794531       66.51388910691881
20230525_EXPL8_nLC11_GT_collab_77min_DDA_P0393_20230531033632   N       84.35806364469616       8.332311759275644       65.20434758841563    97.51247194425115
20230525_EXPL8_nLC11_GT_collab_77min_DDA_P0393_20230531033632   Q       64.00051184237222       6.180269895720696       51.50455827247422    75.55604203112021
20230525_EXPL8_nLC11_GT_collab_77min_DDA_P0394  N       72.7626960088583        10.71601471274725       49.60649028038507       91.07439391029747
20230525_EXPL8_nLC11_GT_collab_77min_DDA_P0394  Q       70.42578291160545       6.164801744945442       56.896519486557736      81.3660824451609
20230525_EXPL8_nLC11_GT_collab_77min_DDA_P0395  N       85.41628434889773       9.070668179975952       63.59382550440051       100.0
20230525_EXPL8_nLC11_GT_collab_77min_DDA_P0395  Q       66.73377048965483       7.0335506658296465      52.12672545978972       80.07103296187768
20230525_EXPL8_nLC11_GT_collab_77min_DDA_P0396  N       82.46841104706375       8.017702209806338       64.67495537664466       96.16902915308222
20230525_EXPL8_nLC11_GT_collab_77min_DDA_P0396  Q       60.07799931167943       6.332052326831466       46.53464484996546       71.47486986682522
20230525_EXPL8_nLC11_GT_collab_77min_DDA_P0397  N       70.90258552836913       10.974396532217705      46.725700561912376      90.9530862019612
20230525_EXPL8_nLC11_GT_collab_77min_DDA_P0397  Q       70.87995962991324       5.4404570981530425      59.720793474175345      80.71005647392104
20230525_EXPL8_nLC11_GT_collab_77min_DDA_P0398  N       81.0062949024263        11.269907906876268      54.53146853146853       100.0
20230525_EXPL8_nLC11_GT_collab_77min_DDA_P0398  Q       66.6288380289773        6.800252070428492       51.77632401053051       78.46348399667896
20230525_EXPL8_nLC11_GT_collab_77min_DDA_P0399  N       81.5573535870505        8.495578325009422       61.68174672263219       95.0242661540401
20230525_EXPL8_nLC11_GT_collab_77min_DDA_P0399  Q       66.00970445050149       6.102678022824517       53.844030663348605      77.00276592051239
20230525_EXPL8_nLC11_GT_collab_77min_DDA_P0400  N       74.55547228854577       9.903362296422063       51.90039530482317       91.96050496653557
20230525_EXPL8_nLC11_GT_collab_77min_DDA_P0400  Q       70.75918995390717       6.385791636101061       57.23346345221558       82.38267850902349
20230525_EXPL8_nLC11_GT_collab_77min_DDA_P0401  N       70.35643445387727       11.006313233381901      47.58120457101452       89.60362427081587
20230525_EXPL8_nLC11_GT_collab_77min_DDA_P0401  Q       71.31762419427548       5.298782808299908       60.442795170368 81.02531665478867
20230525_EXPL8_nLC11_GT_collab_77min_DDA_P0402  N       70.4369228097377        14.293196373315253      39.17255419865749       97.88510263712526
20230525_EXPL8_nLC11_GT_collab_77min_DDA_P0402  Q       63.456843930692955      6.420437165015483       50.16808109350969       75.63236435671861
20230525_EXPL8_nLC11_GT_collab_77min_DDA_P0403  N       80.53949819444225       9.95945592104351        58.333333333333336      98.10511081666085
20230525_EXPL8_nLC11_GT_collab_77min_DDA_P0403  Q       63.50456853334274       6.033325138286206       51.52218691006445       74.1322038865713
20230525_EXPL8_nLC11_GT_collab_77min_DDA_P0404  N       79.13237277373538       9.285674719277385       59.23265710999462       94.95289454502408
20230525_EXPL8_nLC11_GT_collab_77min_DDA_P0404  Q       62.533695085225354      6.5603930181575505      48.88826094211897       74.28441195344371
20230525_EXPL8_nLC11_GT_collab_77min_DDA_P0405  N       76.54221335480386       10.212349773557017      54.59728634559352       94.2349042583948
20230525_EXPL8_nLC11_GT_collab_77min_DDA_P0405  Q       61.735431666501675      7.174486436574999       46.610888559927034      74.71609332203644
20230525_EXPL8_nLC11_GT_collab_77min_DDA_P0406  N       78.59345920510084       10.149954584101664      55.1245560861203        96.36593188559588
20230525_EXPL8_nLC11_GT_collab_77min_DDA_P0406  Q       67.28198409667617       8.303626436092985       48.56631387578261       82.15297776487311
20230525_EXPL8_nLC11_GT_collab_77min_DDA_P0407  N       88.7979906823857        9.194830772544728       66.66666666666667       100.0
