Raw_file        N_Q     mean    std     CI_low  CI_up	version
20231005_EXPL5_nLC11_GT_collab_77min_DDA_Blank_P0581    N       91.32683601075611       3.1284061413330027      84.23016405247489   96.47058823529412	bleach
20231005_EXPL5_nLC11_GT_collab_77min_DDA_Blank_P0581    Q       87.71405789527421       4.011161387448144       78.65977258315424   95.05892306170198	bleach
20230614_EXPL8_nLC11_GT_collab_77min_DDA_P0441  N       59.79721937991001       3.5955736083312253      52.2804771296323        66.66721422011082	original
20230614_EXPL8_nLC11_GT_collab_77min_DDA_P0441  Q       51.07343895771194       3.7584990886814063      43.3620777209939        58.21561000563807	original
20231005_EXPL5_nLC11_GT_collab_77min_DDA_Blank_P0581    N       100.0   0.0     100.0   100.0	bleach_bone
20231005_EXPL5_nLC11_GT_collab_77min_DDA_Blank_P0581    Q       93.28847146783693       3.099632437178349       86.54122636951199   98.12603626291609	bleach_bone
20230614_EXPL8_nLC11_GT_collab_77min_DDA_P0441  N       97.93666837978307       1.0665455924215779      95.42488219499663       99.5400307616339	original_bone
20230614_EXPL8_nLC11_GT_collab_77min_DDA_P0441  Q       91.31470546756098       2.757295260804119       85.35970661415061       96.20123922328762	original_bone
